"beta_CI_joint","beta_CI_joint_noIntrcpt","beta_CI_naive","beta_CI_naive_noIntrcpt","n_ids","snr_sigma","snr_B","params_id"
0.3,0.3,0.886683168316832,0.773366336633663,5,0.5,0.5,"elife_136"
0.26,0.26,0.878094059405941,0.756188118811881,5,1,0.5,"elife_138"
0.24,0.24,0.87759900990099,0.75519801980198,5,2,0.5,"elife_140"
0.545,0.545,0.926435643564356,0.852871287128713,5,0.5,1,"elife_142"
0.46,0.46,0.911485148514851,0.822970297029703,5,1,1,"elife_144"
0.435,0.435,0.906509900990099,0.813019801980198,5,2,1,"elife_146"
0.76,0.76,0.958217821782178,0.916435643564356,5,0.5,2,"elife_148"
0.8,0.8,0.958415841584158,0.916831683168317,5,1,2,"elife_150"
0.775,0.775,0.957178217821782,0.914356435643564,5,2,2,"elife_152"
0.41,0.41,0.898811881188119,0.797623762376238,10,0.5,0.5,"elife_154"
0.355,0.355,0.887747524752475,0.775495049504951,10,1,0.5,"elife_156"
0.35,0.35,0.885940594059406,0.771881188118812,10,2,0.5,"elife_158"
0.7,0.7,0.935,0.87,10,0.5,1,"elife_160"
0.525,0.525,0.91529702970297,0.830594059405941,10,1,1,"elife_162"
0.47,0.47,0.906955445544554,0.813910891089109,10,2,1,"elife_164"
0.87,0.87,0.964232673267327,0.928465346534653,10,0.5,2,"elife_166"
0.875,0.875,0.962574257425742,0.925148514851485,10,1,2,"elife_168"
0.835,0.835,0.959455445544554,0.918910891089109,10,2,2,"elife_170"
0.415,0.415,0.896163366336634,0.792326732673267,15,0.5,0.5,"elife_172"
0.36,0.36,0.885247524752475,0.770495049504951,15,1,0.5,"elife_174"
0.365,0.365,0.884752475247525,0.769504950495049,15,2,0.5,"elife_176"
0.61,0.61,0.929480198019802,0.858960396039604,15,0.5,1,"elife_178"
0.485,0.485,0.907772277227723,0.815544554455445,15,1,1,"elife_180"
0.425,0.425,0.899183168316832,0.798366336633663,15,2,1,"elife_182"
0.825,0.825,0.959034653465346,0.918069306930693,15,0.5,2,"elife_184"
0.82,0.82,0.955767326732673,0.911534653465346,15,1,2,"elife_186"
0.835,0.835,0.951658415841584,0.903316831683168,15,2,2,"elife_188"
0.435,0.435,0.910173267326733,0.820346534653465,20,0.5,0.5,"elife_190"
0.4,0.4,0.898242574257426,0.796485148514851,20,1,0.5,"elife_192"
0.42,0.42,0.897227722772277,0.794455445544554,20,2,0.5,"elife_194"
0.63,0.63,0.938960396039604,0.877920792079208,20,0.5,1,"elife_196"
0.515,0.515,0.919158415841584,0.838316831683168,20,1,1,"elife_198"
0.46,0.46,0.909232673267327,0.818465346534653,20,2,1,"elife_200"
0.815,0.815,0.963490099009901,0.926980198019802,20,0.5,2,"elife_202"
0.78,0.78,0.961113861386138,0.922227722772277,20,1,2,"elife_204"
0.755,0.755,0.956881188118812,0.913762376237624,20,2,2,"elife_206"
0.49,0.49,0.914579207920792,0.829158415841584,25,0.5,0.5,"elife_208"
0.47,0.47,0.905222772277228,0.810445544554455,25,1,0.5,"elife_210"
0.49,0.49,0.904777227722772,0.809554455445544,25,2,0.5,"elife_212"
0.69,0.69,0.942846534653465,0.885693069306931,25,0.5,1,"elife_214"
0.56,0.56,0.92269801980198,0.84539603960396,25,1,1,"elife_216"
0.54,0.54,0.913688118811881,0.827376237623762,25,2,1,"elife_218"
0.845,0.845,0.96509900990099,0.93019801980198,25,0.5,2,"elife_220"
0.845,0.845,0.962821782178218,0.925643564356436,25,1,2,"elife_222"
0.835,0.835,0.960569306930693,0.921138613861386,25,2,2,"elife_224"
